Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
10/20/2012,67992,2.659E+14,3910749605,3364393.515,112977981,16.59501444,11.74013,11.85,11.56025,11.73991,22110.92478,11.71878459
10/21/2012,86015,2.33298E+14,2712291658,3375196.04,61736901.71,22.27543359,11.73991,11.76528,11.61,11.63107,9375.515869,11.67721202
10/22/2012,90086,2.27459E+14,2524906991,3404175.57,249466708.7,23.10204087,11.63108,11.81,11.4711,11.71012,37622.02828,11.69900693
10/23/2012,75815,2.59012E+14,3416372466,3462722.032,989506689.3,24.37162899,11.71014,12,11.41,11.65,54344.49107,11.72715009
10/24/2012,71415,1.92561E+14,2696373173,3512089.225,1159731987,22.20707536,11.65001,11.79,11.591,11.64999,21764.65926,11.67636146
10/25/2012,59498,1.42891E+14,2401607555,3516041.996,41081498.07,18.26830049,11.64999,11.6989,10.52,10.86158,84704.86173,11.02877609
10/26/2012,51225,1.04192E+14,2034003102,3497754.661,67156848.92,16.80943206,10.85369,10.95,9.74,10.17061,98994.69606,10.30981162
10/27/2012,38418,1.66081E+14,4322993257,3466422.543,184989572.9,13.76313528,10.17065,10.83883,9.82207,10.26051,47869.83322,10.37704774
10/28/2012,40056,9.37436E+13,2340312506,3431107.091,65665273,12.84233689,10.2603,10.95,10.24998,10.69998,22389.59497,10.56921776
10/29/2012,58193,1.05215E+14,1808037824,3410154.409,195549449,15.0975509,10.69998,10.93979,10.3209,10.59999,37574.81035,10.65004719
10/30/2012,65162,4.18976E+14,6429753619,3416824.513,101745776.7,23.28136658,10.59,10.89,10.58,10.88753,26023.31915,10.75355056
10/31/2012,58102,3.69319E+14,6356386365,3408943.996,96009144.39,23.11370123,10.881,11.21,10.70543,11.201,40673.45257,11.02340142
11/1/2012,53459,2.61984E+14,4900654752,3392438.903,80975525.98,22.03532797,11.17963,11.279,10.4,10.57,50362.10008,10.92741346
11/2/2012,59957,8.742E+13,1458045419,3382367.413,128397279,25.18210027,10.57,10.8,10.33,10.46877,24485.26249,10.57606742
11/3/2012,50686,1.90763E+14,3763622770,3362852.19,236357281,20.58374693,10.46876,10.65,10.4,10.6425,16732.93956,10.53879844
